"mRNA","gene_id","uniprot_id","microRNA","energy","targetStart","targetEnd","score"
"AAEL008031-RB","AAEL008031","UPI000B77B720","aae-miR-5119-5p",-25.57,159,176,167
"AAEL008031-RC","AAEL008031","Q16ZY1","aae-miR-5119-5p",-25.57,159,176,167
"AAEL006038-RA","AAEL006038","A0A1S4FCG3","aae-miR-5119-5p",-27.96,119,136,163
"AAEL006038-RA","AAEL006038","Q177S2","aae-miR-5119-5p",-27.96,119,136,163
"AAEL007619-RB","AAEL007619","A0A1S4FH10","aae-miR-5119-5p",-26.09,582,598,162
"AAEL007619-RB","AAEL007619","Q8MQU9","aae-miR-5119-5p",-26.09,582,598,162
"AAEL007619-RB","AAEL007619","Q171K9","aae-miR-5119-5p",-26.09,582,598,162
"AAEL007619-RC","AAEL007619","UPI000B799053","aae-miR-5119-5p",-26.09,582,598,162
"AAEL026946-RB","AAEL026946","UPI000B784315","aae-miR-5119-5p",-22.13,885,902,160
"AAEL026946-RC","AAEL026946","A0A0P6IVU8","aae-miR-5119-5p",-22.13,885,902,160
"AAEL011870-RA","AAEL011870","Q16NS4","aae-miR-5119-5p",-25.45,1233,1252,159
"AAEL011870-RC","AAEL011870","UPI000B76F93D","aae-miR-5119-5p",-25.45,1233,1252,159
"AAEL002754-RB","AAEL002754","Q17HA9","aae-miR-5119-5p",-24.55,96,113,159
"AAEL012920-RB","AAEL012920","A0A411JKA7","aae-miR-5119-5p",-24.36,90,107,159
"AAEL012920-RC","AAEL012920","Q16KP5","aae-miR-5119-5p",-24.36,90,107,159
"AAEL007374-RA","AAEL007374","Q172J0","aae-miR-5119-5p",-22.81,295,312,159
"AAEL007374-RA","AAEL007374","A0A1S4FGJ8","aae-miR-5119-5p",-22.81,295,312,159
"AAEL002487-RB","AAEL002487","Q1HRW3","aae-miR-5119-5p",-20.18,414,431,159
"AAEL002487-RB","AAEL002487","A0A0P6K0W1","aae-miR-5119-5p",-20.18,414,431,159
"AAEL002487-RB","AAEL002487","Q5UG09","aae-miR-5119-5p",-20.18,414,431,159
"AAEL001832-RA","AAEL001832","A0A1S4EZX0","aae-miR-5119-5p",-24.52,259,277,158
"AAEL001832-RA","AAEL001832","Q17K20","aae-miR-5119-5p",-24.52,259,277,158
"AAEL001437-RB","AAEL001437","UPI000B771ADF","aae-miR-5119-5p",-22.15,1816,1835,158
"AAEL001437-RC","AAEL001437","UPI000B795A59","aae-miR-5119-5p",-22.15,1816,1835,158
"AAEL001437-RE","AAEL001437","UPI000B78940C","aae-miR-5119-5p",-22.15,1816,1835,158
